Wavelength, Absorbance
400.000, 0.879
410.000, 0.718
420.000, 0.583
430.000, 0.494
440.000, 0.467
450.000, 0.469
460.000, 0.475
470.000, 0.460
480.000, 0.422
490.000, 0.373
500.000, 0.334
510.000, 0.303
520.000, 0.287
530.000, 0.283
540.000, 0.294
550.000, 0.324
560.000, 0.379
570.000, 0.442
580.000, 0.514
590.000, 0.587
600.000, 0.647
610.000, 0.674
620.000, 0.667
630.000, 0.615
640.000, 0.537
650.000, 0.440
660.000, 0.347
670.000, 0.256
680.000, 0.190
690.000, 0.129
700.000, 0.083
710.000, 0.055
720.000, 0.033
730.000, 0.026
740.000, 0.018
750.000, 0.014
760.000, 0.012
770.000, 0.011
780.000, 0.010
790.000, 0.010
